edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_Ex pareja,vinculo_Madre o tutor,vinculo_Otro,vinculo_Otro familiar,vinculo_Padre o tutor,vinculo_Pareja,vinculo_Superior jerarquico
0.24137931034482754,1,1,1,0,0,0,0,0,1,0,0,0,0
0.7068965517241379,1,1,0,0,1,1,0,0,0,0,0,1,0
0.396551724137931,0,0,0,0,1,1,0,0,0,0,0,1,0
0.5,0,0,0,0,0,1,1,0,0,0,0,0,0
0.5689655172413792,1,1,0,1,0,1,1,0,0,0,0,0,0
0.8965517241379309,1,1,0,1,0,1,0,0,0,0,0,1,0
0.5862068965517241,1,1,1,1,1,1,1,0,0,0,0,0,0
0.3275862068965517,1,1,1,1,0,1,0,0,0,0,0,1,0
0.29310344827586204,1,1,0,1,0,1,0,0,0,0,0,1,0
0.8103448275862069,1,1,0,0,0,1,0,0,0,0,0,1,0
0.3620689655172413,1,1,0,1,0,1,0,0,0,0,0,1,0
0.6206896551724138,1,1,0,1,0,1,0,0,0,0,0,1,0
0.6724137931034483,0,0,1,0,1,1,1,0,0,0,0,0,0
0.6724137931034483,1,1,0,0,0,1,0,0,1,0,0,0,0
0.6034482758620688,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5,1,1,0,0,1,1,0,0,0,0,0,1,0
0.3793103448275862,1,1,0,0,0,1,1,0,0,0,0,0,0
0.3275862068965517,0,0,0,0,0,1,1,0,0,0,0,0,0
0.6379310344827586,1,1,0,0,0,1,0,0,0,0,0,1,0
0.3448275862068965,1,1,0,0,0,1,0,0,0,0,0,1,0
0.7586206896551724,1,1,0,0,0,1,0,0,0,0,0,1,0
0.17241379310344826,1,1,0,0,0,1,1,0,0,0,0,0,0
0.3103448275862069,1,1,0,1,0,1,0,0,0,0,0,1,0
0.7586206896551724,0,0,0,1,0,1,1,0,0,0,0,0,0
0.5689655172413792,1,1,0,0,0,1,1,0,0,0,0,0,0
0.3620689655172413,1,1,1,1,0,1,1,0,0,0,0,0,0
